csv_date,hour,sky_condition
02/12/2013,12,4
02/12/2013,13,3
02/12/2013,14,4
02/12/2013,15,4
02/12/2013,16,3
02/12/2013,17,3
02/12/2013,18,4
02/12/2013,19,4
02/12/2013,20,4
02/12/2013,21,4
02/12/2013,22,4
02/12/2013,23,4
02/13/2013,00,4
02/13/2013,01,4
02/13/2013,02,4
02/13/2013,03,4
02/13/2013,04,4
02/13/2013,05,4
02/13/2013,06,4
02/13/2013,07,4
02/13/2013,08,4
02/13/2013,09,4
02/13/2013,10,4
02/13/2013,11,4
02/13/2013,12,4
02/13/2013,13,3
02/13/2013,14,3
02/13/2013,15,3
02/13/2013,16,3
02/13/2013,17,3
02/13/2013,18,3
02/13/2013,19,3
02/13/2013,20,3
02/13/2013,21,4
02/13/2013,22,3
02/13/2013,23,3
02/14/2013,00,4
02/14/2013,01,2
02/14/2013,02,1
02/14/2013,03,3
02/14/2013,04,4
02/14/2013,05,3
02/14/2013,06,3
02/14/2013,07,4
02/14/2013,08,4
02/14/2013,09,4
02/14/2013,10,4
02/14/2013,11,4
02/14/2013,12,4
02/14/2013,13,4
02/14/2013,14,3
02/14/2013,15,4
02/14/2013,16,3
02/14/2013,17,3
02/14/2013,18,3
02/14/2013,19,1
02/14/2013,20,1
02/14/2013,21,1
02/14/2013,22,1
02/14/2013,23,1
02/15/2013,00,4
02/15/2013,01,4
02/15/2013,02,2
02/15/2013,03,4
02/15/2013,04,4
02/15/2013,05,3
02/15/2013,06,4
02/15/2013,07,4
02/15/2013,08,3
02/15/2013,09,2
02/15/2013,10,0
02/15/2013,11,0
02/15/2013,12,0
02/15/2013,13,0
02/15/2013,14,0
02/15/2013,15,0
02/15/2013,16,0
02/15/2013,17,0
02/15/2013,18,0
02/15/2013,19,0
02/15/2013,20,0
02/15/2013,21,0
02/15/2013,22,0
02/15/2013,23,0
02/16/2013,00,0
02/16/2013,01,0
02/16/2013,02,2
02/16/2013,03,2
02/16/2013,04,4
02/16/2013,05,4
02/16/2013,06,4
02/16/2013,07,4
02/16/2013,08,4
02/16/2013,09,4
02/16/2013,10,4
02/16/2013,11,4
02/16/2013,12,3
02/16/2013,13,4
02/16/2013,14,3
02/16/2013,15,3
02/16/2013,16,1
02/16/2013,17,1
02/16/2013,18,2
02/16/2013,19,2
02/16/2013,20,1
02/16/2013,21,3
02/16/2013,22,3
02/16/2013,23,3
02/17/2013,00,1
